2,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","352.3004"
"","0.1000","0.0044","392.0314"
"","0.2000","0.0175","535.6014"
"","0.2730","0.0410","786.0134"
"","0.3730","0.0627","1010.8160"
"","0.4730","0.0832","1220.9843"
"","0.5730","0.1045","1436.8707"
"","0.6730","0.1251","1643.5226"
"","0.7730","0.1472","1860.6396"
"","0.8730","0.1680","2047.7728"
"","0.9730","0.1891","2215.9194"
"","1.0730","0.2104","2390.2834"
"","1.1730","0.2311","2565.9590"
"","1.2730","0.2530","2755.7053"
"","1.3730","0.2734","2928.8499"
"","1.4730","0.2952","3115.4707"
"","1.5730","0.3156","3286.9307"
"","1.6730","0.3372","3470.7576"
"","1.7730","0.3588","3650.4597"
"","1.8730","0.3791","3819.0293"
"","1.9730","0.4008","3998.0530"
"","2.0730","0.4213","4165.4409"
"","2.1730","0.4434","4347.1978"
"","2.2730","0.4639","4509.9258"
"","2.3730","0.4854","4684.2837"
"","2.4730","0.5062","4847.8857"
"","2.5730","0.5274","5014.8374"
"","2.6730","0.5495","5184.3945"
"","2.7730","0.5696","5333.6938"
"","2.8730","0.5915","5494.5342"
"","2.9730","0.6117","5637.5518"
"","3.0730","0.6339","5795.0361"
"","3.1730","0.6547","5935.1567"
"","3.2730","0.6759","6080.2593"
"","3.3730","0.6968","6216.5195"
"","3.4730","0.7179","6354.1719"
"","3.5730","0.7401","6493.6855"
"","3.6730","0.7601","6613.1865"
"","3.7730","0.7819","6741.4360"
"","3.8730","0.8024","6853.5967"
"","3.9730","0.8243","6969.0557"
"","4.0730","0.8453","7065.9243"
"","4.1730","0.8663","7160.0332"
"","4.2730","0.8876","7237.3076"
"","4.3730","0.9084","7306.1177"
"","4.4730","0.9306","7362.6689"
"","4.5730","0.9506","7405.0645"
"","4.6730","0.9724","7448.3560"
"","4.7730","0.9930","7478.4370"
"","4.8730","1.0145","7513.3154"
"","4.9730","1.0361","7535.2622"
"","5.0730","1.0562","7564.8560"
"","5.1730","1.0783","7586.0093"
"","5.2730","1.0987","7609.8667"
"","5.3730","1.1207","7632.3091"
"","5.4730","1.1413","7645.7695"
"","5.5730","1.1629","7671.9224"
"","5.6730","1.1837","7683.1572"
"","5.7730","1.2049","7707.2979"
"","5.8730","1.2268","7718.5601"
"","5.9730","1.2470","7736.1108"
"","6.0730","1.2688","7752.9507"
"","6.1730","1.2892","7765.0957"
"","6.2730","1.3112","7787.3545"
"","6.3730","1.3321","7791.9448"
"","6.4730","1.3532","7813.9028"
"","6.5730","1.3744","7822.0459"
"","6.6730","1.3952","7839.9917"
"","6.7730","1.4174","7852.7422"
"","6.8730","1.4376","7859.8989"
"","6.9730","1.4594","7878.4702"
"","7.0730","1.4798","7886.7339"
"","7.1730","1.5016","7906.8369"
"","7.2730","1.5228","7909.8687"
"","7.3730","1.5435","7928.3872"
"","7.4730","1.5649","7937.7734"
"","7.5730","1.5855","7950.5117"
"","7.6730","1.6078","7966.3320"
"","7.7730","1.6279","7967.4697"
"","7.8730","1.6496","7988.8657"
"","7.9730","1.6703","7992.9531"
"","8.0730","1.6918","8012.7173"
"","8.1730","1.7136","8018.1606"
"","8.2730","1.7339","8029.1445"
"","8.3730","1.7556","8043.2671"
"","8.4730","1.7760","8050.8403"
"","8.5730","1.7983","8069.1138"
"","8.6730","1.8187","8068.7856"
"","8.7730","1.8402","8089.3364"
"","8.8730","1.8609","8093.1797"
"","8.9730","1.8822","8109.7402"
"","9.0730","1.9041","8118.8374"
"","9.1730","1.9243","8126.7568"
"","9.2730","1.9462","8140.3677"
"","9.3730","1.9666","8146.4302"
"","9.4730","1.9886","8164.6309"
"","9.5730","2.0095","8165.4595"
"","9.6730","2.0306","8182.4951"
"","9.7730","2.0516","8188.0952"
"","9.8730","2.0727","8203.2217"
"","9.9730","2.0948","8213.8848"
"","10.0730","2.1149","8216.6846"
"","10.1730","2.1365","8233.5967"
"","10.2730","2.1571","8238.3682"
"","10.3730","2.1788","8255.3330"
"","10.4730","2.2000","8258.1875"
"","10.5730","2.2207","8272.2793"
"","10.6730","2.2422","8280.1523"
"","10.7730","2.2629","8289.7139"
"","10.8730","2.2852","8304.8750"
"","10.9730","2.3054","8304.0137"
"","11.0730","2.3272","8324.0703"
"","11.1730","2.3478","8325.6543"
"","11.2730","2.3693","8342.6152"
"","11.3730","2.3908","8347.4150"
"","11.4730","2.4112","8356.1230"
"","11.5730","2.4328","8369.3984"
"","11.6730","2.4533","8374.8643"
"","11.7730","2.4754","8390.6631"
"","11.8730","2.4958","8390.6123"
"","11.9730","2.5176","8409.0430"
"","12.0730","2.5384","8410.8838"
"","12.1730","2.5596","8425.6338"
"","12.2730","2.5816","8433.4502"
"","12.3730","2.6018","8438.2471"
"","12.4730","2.6235","8452.2490"
"","12.5730","2.6440","8458.2158"
"","12.6730","2.6659","8473.2354"
"","12.7730","2.6869","8474.0840"
"","12.8730","2.7079","8488.2188"
"","12.9730","2.7289","8494.1924"
"","13.0730","2.7497","8504.8164"
"","13.1730","2.7720","8517.8320"
"","13.2730","2.7922","8517.1943"
"","13.3730","2.8139","8533.3857"
"","13.4730","2.8344","8537.1641"
"","13.5730","2.8562","8553.3965"
"","13.6730","2.8776","8554.8330"
"","13.7730","2.8982","8565.5039"
"","13.8730","2.9197","8575.1533"
"","13.9730","2.9403","8581.9688"
"","14.0730","2.9625","8596.7910"
"","14.1730","2.9827","8594.6035"
"","14.2730","3.0042","8611.3398"
"","14.3730","3.0250","8614.6133"
"","14.4730","3.0464","8628.5771"
"","14.5730","3.0682","8634.9287"
"","14.6730","3.0886","8640.9482"
"","14.7730","3.1101","8651.6250"
"","14.8730","3.1308","8658.1689"
"","14.9730","3.1529","8672.7988"
"","15.0730","3.1736","8671.4414"
"","15.1730","3.1948","8685.0723"
"","15.2730","3.2158","8689.4463"
"","15.3730","3.2369","8702.0215"
"","15.4730","3.2588","8710.6191"
"","15.5730","3.2789","8712.5869"
"","15.6730","3.3008","8727.1758"
"","15.7730","3.3213","8730.1396"
"","15.8730","3.3431","8745.4951"
"","15.9730","3.3641","8745.7031"
"","16.0730","3.3852","8758.0703"
"","16.1730","3.4062","8761.8857"
"","16.2730","3.4271","8772.3359"
"","16.3730","3.4495","8785.1797"
"","16.4730","3.4697","8783.9600"
"","16.5730","3.4914","8798.9658"
"","16.6730","3.5118","8800.9092"
"","16.7730","3.5336","8815.8115"
"","16.8730","3.5547","8816.9111"
"","16.9730","3.5754","8826.0400"
"","17.0730","3.5967","8832.8447"
"","17.1730","3.6175","8842.0820"
"","17.2730","3.6397","8854.9961"
"","17.3730","3.6603","8854.0557"
"","17.4730","3.6817","8866.7881"
"","17.5730","3.7023","8870.4473"
"","17.6730","3.7240","8883.7383"
"","17.7730","3.7455","8887.6523"
"","17.8730","3.7661","8893.1221"
"","17.9730","3.7873","8900.9873"
"","18.0730","3.8083","8909.0654"
"","18.1730","3.8303","8921.2891"
"","18.2730","3.8507","8919.4258"
"","18.3730","3.8720","8934.6621"
"","18.4730","3.8931","8938.5000"
"","18.5730","3.9141","8946.7471"
"","18.6730","3.9362","8956.4971"
"","18.7730","3.9563","8956.4619"
"","18.8730","3.9781","8970.0547"
"","18.9730","3.9986","8972.3604"
"","19.0730","4.0205","8986.2256"
"","19.1730","4.0416","8986.5352"
"","19.2730","4.0625","8997.2119"
"","19.3730","4.0837","9002.4863"
"","19.4730","4.1045","9010.4883"
"","19.5730","4.1267","9021.6328"
"","19.6730","4.1468","9018.7471"
"","19.7730","4.1685","9033.4229"
"","19.8730","4.1891","9034.9932"
"","19.9730","4.2107","9048.8604"
"","20.0730","4.2322","9052.1357"
"","20.1730","4.2529","9058.3789"
"","20.2730","4.2743","9065.6172"
"","20.3730","4.2950","9070.8135"
"","20.4730","4.3172","9084.6504"
"","20.5730","4.3376","9081.0371"
"","20.6730","4.3590","9092.4795"
"","20.7730","4.3798","9097.2441"
"","20.8730","4.4012","9108.2354"
"","20.9730","4.4229","9113.5928"
"","21.0730","4.4432","9115.5928"
"","21.1730","4.4649","9126.6191"
"","21.2730","4.4854","9130.5801"
"","21.3730","4.5075","9143.8994"
"","21.4730","4.5281","9141.1260"
"","21.5730","4.5493","9153.1943"
"","21.6730","4.5704","9157.0283"
"","21.7730","4.5914","9165.3857"
"","21.8730","4.6135","9174.3740"
"","21.9730","4.6335","9172.0195"
"","22.0730","4.6555","9186.4941"
"","22.1730","4.6760","9186.8154"
"","22.2730","4.6979","9201.6768"
"","22.3730","4.7189","9200.2158"
"","22.4730","4.7399","9208.9844"
"","22.5730","4.7609","9213.3369"
"","22.6730","4.7817","9221.1152"
"","22.7730","4.8040","9233.5947"
"","22.8730","4.8242","9228.8164"
"","22.9730","4.8460","9242.0186"
"","23.0730","4.8665","9242.5127"
"","23.1730","4.8881","9256.0488"
"","23.2730","4.9096","9258.3086"
"","23.3730","4.9303","9261.9883"
"","23.4730","4.9516","9269.3008"
"","23.5730","4.9723","9274.1357"
"","23.6730","4.9944","9287.0762"
"","23.7730","5.0149","9284.0967"
"","23.8730","5.0365","9296.2344"
"","23.9730","5.0571","9296.9629"
"","24.0730","5.0784","9307.8691"
"","24.1730","5.1003","9313.6934"
"","24.1910","5.1039","9311.9941"
