3,Time,Displacement,Force
,(s),(mm),(N)
"","16.2820","3.4281","15280.9189"
"","16.3820","3.4490","15286.2812"
"","16.4820","3.4712","15283.5889"
"","16.5820","3.4915","15280.0801"
"","16.6820","3.5130","15282.8691"
"","16.7820","3.5338","15280.3223"
"","16.8820","3.5553","15285.4219"
"","16.9820","3.5769","15274.8496"
"","17.0820","3.5973","15285.2510"
"","17.1820","3.6190","15277.1230"
"","17.2820","3.6394","15280.6152"
"","17.3820","3.6617","15282.4805"
"","17.4820","3.6820","15276.2119"
"","17.5820","3.7036","15283.6367"
"","17.6820","3.7243","15277.2617"
"","17.7820","3.7454","15284.1377"
"","17.8820","3.7673","15277.1562"
"","17.9820","3.7877","15281.0977"
"","18.0820","3.8094","15277.7090"
"","18.1820","3.8299","15279.1963"
"","18.2820","3.8520","15280.6045"
"","18.3820","3.8728","15273.6143"
"","18.4820","3.8940","15281.1553"
"","18.5820","3.9150","15273.4775"
"","18.6820","3.9359","15277.7256"
"","18.7820","3.9580","15271.9023"
"","18.8820","3.9781","15271.5293"
"","18.9820","4.0000","15268.2559"
"","19.0820","4.0203","15267.4287"
"","19.1820","4.0422","15269.4795"
"","19.2820","4.0635","15258.6113"
"","19.3820","4.0844","15266.7549"
"","19.4820","4.1056","15254.9209"
"","19.5820","4.1262","15258.7373"
"","19.6820","4.1487","15254.2236"
"","19.7820","4.1688","15250.8320"
"","19.8820","4.1905","15256.8418"
"","19.9820","4.2111","15258.2969"
"","20.0820","4.2327","15275.5010"
"","20.1820","4.2542","15286.2002"
"","20.2820","4.2746","15314.4629"
"","20.3820","4.2961","15327.4785"
"","20.4820","4.3167","15344.6748"
"","20.5820","4.3388","15356.5986"
"","20.6820","4.3594","15352.2012"
"","20.7820","4.3807","15358.1260"
"","20.8820","4.4016","15338.5254"
"","20.9820","4.4230","15331.8721"
"","21.0820","4.4449","15321.4600"
"","21.1820","4.4651","15324.7002"
"","21.2820","4.4868","15324.1846"
"","21.3820","4.5073","15328.4307"
"","21.4820","4.5292","15333.1904"
"","21.5820","4.5500","15329.2998"
"","21.6820","4.5713","15336.0410"
"","21.7820","4.5923","15328.9150"
"","21.8820","4.6129","15335.8701"
"","21.9820","4.6354","15331.0586"
"","22.0820","4.6555","15328.1074"
"","22.1820","4.6774","15327.8379"
"","22.2820","4.6979","15324.8701"
"","22.3820","4.7198","15327.5732"
"","22.4820","4.7410","15316.5576"
"","22.5820","4.7617","15328.2178"
"","22.6820","4.7829","15319.8320"
"","22.7820","4.8038","15327.8057"
"","22.8820","4.8260","15327.0234"
"","22.9820","4.8460","15329.1436"
"","23.0820","4.8678","15333.7734"
"","23.1820","4.8882","15335.0938"
"","23.2820","4.9098","15341.6289"
"","23.3820","4.9314","15333.8418"
"","23.4820","4.9519","15345.1572"
"","23.5820","4.9734","15336.5254"
"","23.6820","4.9942","15341.5635"
"","23.7820","5.0163","15342.1592"
"","23.8820","5.0369","15338.6162"
"","23.9820","5.0585","15344.1357"
"","24.0820","5.0790","15338.0234"
"","24.1820","5.1002","15341.3398"
"","24.2820","5.1219","15332.0176"
"","24.3820","5.1423","15332.3262"
"","24.4820","5.1640","15322.1074"
"","24.5820","5.1847","15316.2275"
"","24.6820","5.2067","15303.9570"
"","24.7820","5.2274","15277.9971"
"","24.8820","5.2488","15313.7129"
"","24.9820","5.2697","15333.3125"
"","25.0820","5.2905","15360.8740"
"","25.1820","5.3128","15374.2324"
"","25.2820","5.3329","15388.8643"
"","25.3820","5.3547","15400.8926"
"","25.4820","5.3751","15411.8105"
"","25.5820","5.3971","15425.3721"
"","25.6820","5.4183","15424.4004"
"","25.7820","5.4390","15442.4023"
"","25.8820","5.4602","15437.5791"
"","25.9820","5.4808","15448.2607"
"","26.0820","5.5031","15448.3828"
"","26.1820","5.5233","15446.9189"
"","26.2820","5.5451","15454.0469"
"","26.3820","5.5657","15456.5830"
"","26.4820","5.5874","15462.9248"
"","26.5820","5.6089","15456.5215"
"","26.6820","5.6293","15467.3877"
"","26.7820","5.6509","15458.7451"
"","26.8820","5.6713","15463.0557"
"","26.9820","5.6934","15462.1123"
"","27.0820","5.7141","15456.9854"
"","27.1820","5.7355","15461.7910"
"","27.2820","5.7562","15456.7051"
"","27.3820","5.7776","15461.1514"
"","27.4820","5.7994","15453.9180"
"","27.5820","5.8197","15458.9561"
"","27.6820","5.8416","15453.5625"
"","27.7820","5.8619","15455.6172"
"","27.8820","5.8840","15459.3857"
"","27.9820","5.9045","15449.9980"
"","28.0820","5.9261","15463.7617"
"","28.1820","5.9471","15455.4111"
"","28.2820","5.9678","15464.2627"
"","28.3820","5.9900","15460.6299"
"","28.4820","6.0101","15462.7842"
"","28.5820","6.0320","15461.8096"
"","28.6820","6.0524","15463.4639"
"","28.7820","6.0743","15466.5078"
"","28.8820","6.0955","15456.4844"
"","28.9820","6.1162","15465.1035"
"","29.0820","6.1376","15449.5869"
"","29.1820","6.1583","15448.5332"
"","29.2820","6.1806","15430.9170"
"","29.3820","6.2008","15411.7168"
"","29.4820","6.2226","15412.5703"
"","29.5820","6.2430","15412.8428"
"","29.6820","6.2646","15421.9014"
"","29.7820","6.2862","15415.8096"
"","29.8820","6.3067","15425.6562"
"","29.9820","6.3281","15420.4961"
"","30.0820","6.3487","15425.4746"
"","30.1820","6.3710","15426.0752"
"","30.2820","6.3914","15421.3037"
"","30.3820","6.4129","15429.3525"
"","30.4820","6.4336","15424.9873"
"","30.5820","6.4549","15431.9092"
"","30.6820","6.4768","15423.5918"
"","30.7820","6.4971","15430.7324"
"","30.8820","6.5189","15425.1875"
"","30.9820","6.5392","15429.0840"
"","31.0820","6.5614","15430.5830"
"","31.1820","6.5821","15424.4033"
"","31.2820","6.6032","15434.9834"
"","31.3820","6.6242","15426.4912"
"","31.4820","6.6452","15433.2891"
"","31.5820","6.6674","15427.2344"
"","31.6820","6.6875","15427.8623"
"","31.7820","6.7092","15424.2109"
"","31.8820","6.7298","15422.5801"
"","31.9820","6.7515","15422.1699"
"","32.0820","6.7729","15411.7031"
"","32.1820","6.7936","15417.3818"
"","32.2820","6.8151","15407.8545"
"","32.3820","6.8357","15411.3652"
"","32.4820","6.8578","15410.5205"
"","32.5820","6.8781","15406.8887"
"","32.6820","6.8997","15412.4824"
"","32.7820","6.9204","15411.5332"
"","32.8820","6.9419","15416.5430"
"","32.9820","6.9635","15410.6494"
"","33.0820","6.9839","15421.6777"
"","33.1820","7.0056","15416.1514"
"","33.2820","7.0260","15421.7617"
"","33.3820","7.0483","15424.3037"
"","33.4820","7.0688","15420.8477"
"","33.5820","7.0903","15428.6475"
"","33.6820","7.1110","15424.6133"
"","33.7820","7.1323","15433.1396"
"","33.8820","7.1542","15425.1514"
"","33.9820","7.1743","15432.0840"
"","34.0820","7.1962","15427.8740"
"","34.1820","7.2166","15431.2324"
"","34.2820","7.2385","15433.8760"
"","34.3820","7.2595","15424.9746"
"","34.4820","7.2804","15436.4482"
"","34.5820","7.3017","15424.2041"
"","34.6820","7.3225","15430.4863"
"","34.7820","7.3444","15426.0371"
"","34.8820","7.3649","15422.9746"
"","34.9820","7.3868","15420.8828"
"","35.0820","7.4073","15419.9121"
"","35.1820","7.4290","15424.8760"
"","35.2820","7.4504","15417.2246"
"","35.3820","7.4708","15431.5781"
"","35.4820","7.4922","15427.4600"
"","35.5820","7.5127","15437.7178"
"","35.6820","7.5351","15443.2754"
"","35.7820","7.5554","15445.0293"
"","35.8820","7.5771","15458.2695"
"","35.9820","7.5978","15462.1016"
"","36.0820","7.6192","15476.1504"
"","36.1820","7.6411","15471.8447"
"","36.2820","7.6613","15487.2090"
"","36.3820","7.6830","15482.8418"
"","36.4820","7.7034","15490.5723"
"","36.5820","7.7258","15493.5654"
"","36.6820","7.7461","15488.7256"
"","36.7820","7.7675","15496.7998"
"","36.8820","7.7883","15490.2500"
"","36.9820","7.8095","15494.8965"
"","37.0820","7.8315","15485.5596"
"","37.1820","7.8515","15490.2744"
"","37.2820","7.8734","15498.9209"
"","37.3820","7.8938","15524.8506"
"","37.4820","7.9158","15550.1562"
"","37.5820","7.9369","15557.6660"
"","37.6820","7.9579","15576.9629"
"","37.7820","7.9792","15574.2275"
"","37.8820","8.0000","15585.7656"
"","37.9820","8.0221","15582.4219"
"","38.0820","8.0421","15579.7090"
"","38.1820","8.0638","15577.2490"
"","38.2820","8.0845","15569.5889"
"","38.3820","8.1060","15564.5059"
"","38.4820","8.1275","15546.0342"
"","38.5820","8.1483","15546.2725"
"","38.6820","8.1698","15526.7314"
"","38.7820","8.1904","15525.8955"
"","38.8820","8.2124","15523.5947"
"","38.9820","8.2329","15517.6699"
"","39.0820","8.2544","15522.8760"
"","39.1820","8.2751","15519.9453"
"","39.2820","8.2967","15528.9141"
"","39.3820","8.3184","15520.4551"
"","39.4820","8.3386","15530.7441"
"","39.5820","8.3602","15525.8994"
"","39.6820","8.3808","15530.8369"
"","39.7820","8.4029","15531.4385"
"","39.8820","8.4233","15525.6670"
"","39.9820","8.4449","15535.7686"
"","40.0820","8.4656","15529.3076"
"","40.1820","8.4867","15536.1865"
"","40.2820","8.5091","15529.1230"
"","40.3820","8.5290","15533.3623"
"","40.4820","8.5510","15530.6904"
"","40.4960","8.5539","15528.9424"
